"CONFIG_EPOLL","CONFIG_SECURITY","CONFIG_ALPHA_EV6","CONFIG_PCIEAER","CONFIG_ZONE_DMA32","CONFIG_NO_BOOTMEM","CONFIG_METAG","CONFIG_CMA","CONFIG_USER_NS","CONFIG_NUMA_BALANCING","CONFIG_MIGRATION","CONFIG_DISCONTIGMEM","CONFIG_PROFILE_ALL_BRANCHES","CONFIG_HIGHMEM","CONFIG_MODULE_UNLOAD","CONFIG_BLOCK","CONFIG_MEMCG","CONFIG_PCIE_ECRC","CONFIG_TREE_RCU","CONFIG_GENERIC_BUG","CONFIG_SMP","CONFIG_PCI_QUIRKS","CONFIG_BLK_DEV_INITRD","CONFIG_FRONTSWAP","CONFIG_SYSCTL","CONFIG_PARISC_PAGE_SIZE_4KB","CONFIG_PCI_MSI","CONFIG_PPC","CONFIG_TRACE_BRANCH_PROFILING","CONFIG_HAVE_ARCH_EARLY_PFN_TO_NID","CONFIG_HAVE_MEMBLOCK_NODE_MAP","CONFIG_PCIEPORTBUS","CONFIG_PARISC","CONFIG_SWAP","CONFIG_AUDITSYSCALL","CONFIG_ENABLE_MUST_CHECK","CONFIG_64BIT","CONFIG_X86","CONFIG_FILE_LOCKING","CONFIG_FTRACE_MCOUNT_RECORD","CONFIG_PCI_MMCONFIG","CONFIG_DEBUG_WRITECOUNT","CONFIG_NUMA","CONFIG_EVENT_TRACING","CONFIG_TRACING","CONFIG_DEBUG_RODATA","CONFIG_PREEMPT_COUNT","CONFIG_PCI_ATS","CONFIG_ENABLE_WARN_DEPRECATED","CONFIG_FS_POSIX_ACL","CONFIG_HUGETLBFS","CONFIG_DEBUG_SET_MODULE_RONX","CONFIG_DEBUG_VM_RB","CONFIG_ZONE_DMA","CONFIG_CGROUP_HUGETLB","CONFIG_HUGETLB_PAGE","CONFIG_CONSTRUCTORS","CONFIG_DEBUG_PAGEALLOC","CONFIG_HPUX","CONFIG_PM_SLEEP","CONFIG_FSNOTIFY","CONFIG_SPARSEMEM","CONFIG_PROC_FS","CONFIG_HIBERNATION","CONFIG_EEH","CONFIG_PCI_DOMAINS","CONFIG_SPARSE_RCU_POINTER","CONFIG_STACK_GROWSUP","CONFIG_IMA","CONFIG_HAVE_ARCH_ALLOC_REMAP","CONFIG_PCIEASPM","CONFIG_IA64","CONFIG_PA11","CONFIG_TRACEPOINTS","CONFIG_PCI","CONFIG_MMU","CONFIG_MEMORY_FAILURE","CONFIG_HT_IRQ","CONFIG_MEMORY_HOTPLUG","CONFIG_MEMCG_SWAP","CONFIG_OF","CONFIG_ALPHA_GENERIC","CONFIG_FS_XIP","CONFIG_PA20","CONFIG_SPARSEMEM_VMEMMAP","CONFIG_UNUSED_SYMBOLS","CONFIG_HOTPLUG_PCI","CONFIG_ARCH_USES_PG_UNCACHED","CONFIG_MODULE_SIG","CONFIG_DEBUG_KERNEL","CONFIG_KSM","CONFIG_ARCH_USES_NUMA_PROT_NONE","CONFIG_QUOTA","CONFIG_ALPHA_LARGE_VMALLOC","CONFIG_BROKEN_RODATA","CONFIG_DEBUG_LOCK_ALLOC","CONFIG_SYSFS","CONFIG_KPROBES","CONFIG_TINY_RCU","CONFIG_TRANSPARENT_HUGEPAGE","CONFIG_HOTPLUG_PCI_MODULE","CONFIG_KALLSYMS","CONFIG_PCI_IOV","CONFIG_MODULES"
"false","true","false","false","false","true","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false","false","false","true","true","true","false","false","true","true","false","true","false","true","true","true","true","false","true","false","false","true","false","true","true","true","true","false","false","false","false","false","true","true","true","false","false","true","false","true","true","true","true","true","false","true","false","true","true","true","true","false","false","false","false","true","false","false","true","false","true","false","false","true","true","false","true","true","false","true","true","false","true","true","true","false","true","true","false","false","true","true","false","true"
"false","false","true","false","false","false","false","false","false","true","true","false","false","true","false","true","true","true","false","false","false","false","false","false","true","false","false","true","false","false","false","false","true","true","true","true","false","false","false","false","true","false","true","true","false","false","true","true","true","true","false","true","false","true","true","true","true","true","true","false","true","false","false","true","true","true","false","true","true","true","true","false","true","true","true","true","true","false","false","true","false","false","true","false","true","false","false","true","true","true","true","false","false","true","true","false","true","true","false","true","true","true","false","true"
"true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","true","false","true","true","false","true","false","true","true","false","true","true","false","false","false","false","true","true","true","false","false","true","false","false","true","true","false","true","false","false","true","false","true","false","true","true","true","true","true","true","false","true","false","false","false","false","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","true"
"true","false","false","false","true","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","true","true","false","true","false","false","false","false","false","true","true","true","false","true","true","false","false","false","false","true","false","true","true","true","true","true","false","false","true","true","false","true","true","true","true","false","true","false","false","true","false","false","true","true","true","false","true","false"
"true","true","false","true","false","false","false","true","true","true","true","false","true","false","false","true","true","false","true","true","false","true","true","true","false","true","false","true","false","false","true","false","false","true","true","false","true","false","false","false","false","true","false","false","true","false","true","true","false","false","false","false","false","false","true","true","false","true","true","false","true","false","false","false","false","true","false","true","false","true","false","false","true","false","true","true","true","true","true","false","true","false","true","true","false","false","false","false","false","true","true","true","false","true","false","true","true","true","false","false","true","true","true","false"
"false","true","true","true","true","false","true","true","false","false","false","false","false","false","false","true","true","false","false","true","true","false","true","true","false","false","true","false","true","false","false","true","true","false","false","true","false","false","false","true","false","false","false","true","false","true","false","true","true","false","true","false","false","false","true","true","false","false","false","true","false","false","true","false","true","false","true","false","true","false","true","true","false","false","true","false","true","true","false","false","true","true","false","false","true","true","true","false","false","false","true","false","false","true","false","false","false","true","true","false","false","true","false","true"
"false","false","false","true","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","true","false","true","true","false","true","false","false","false","true","false","false","false","false","true","true","false","true","true","false","true","true","false","true","true","false","true","true","false","true","true","false","false","false","false","false","true","true","true","false","false","true","true","false","true","true","false","true","true","false","true","true","false","false","false","false","true","false","true","true"
"true","false","false","true","false","false","false","true","true","true","false","true","false","true","false","false","false","true","false","false","true","true","false","true","false","true","false","true","false","false","true","false","false","true","true","true","false","false","true","true","true","true","true","true","false","true","false","true","false","false","false","true","false","false","true","true","false","false","true","true","true","true","true","false","true","false","true","true","false","true","false","false","true","false","true","false","false","true","true","true","true","true","false","false","true","true","false","true","true","false","true","false","true","false","true","true","true","true","false","true","true","false","false","true"
"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","true","false","false","true","false","true","true","true","true","true","false","true","true","false","true","false","false","true","false","false","false","false","true","true","true","true","true","true","true","false","true","true","false","true","true","false","false","false","false","false","true","true","false","true","true","true","false","true","true","false","false","false","false","false","false","true","false","false","false","false","false","false","true","true","true","true","false","false","true","true","true","false","true","false","true","true","true","false","true","false","true","true","false","true","false","true","true","true"
"false","true","true","true","true","true","false","true","true","true","false","false","true","true","false","true","false","true","true","false","true","false","false","false","false","false","false","false","false","false","true","true","false","false","false","true","false","true","true","true","true","false","false","false","true","false","false","false","false","true","false","false","false","true","true","true","true","true","true","false","true","true","true","true","false","true","false","true","false","false","false","true","false","false","true","true","true","true","false","true","true","false","true","true","true","false","true","true","false","false","true","true","true","true","true","false","false","true","false","false","false","true","true","false"
"false","false","true","true","false","false","true","false","true","true","false","true","true","false","true","true","false","false","true","true","true","true","false","true","true","false","true","false","false","true","true","false","true","false","true","true","false","true","false","false","false","false","false","false","true","false","true","true","false","false","false","false","true","true","false","false","true","true","false","false","false","false","true","false","false","false","false","true","false","true","true","true","false","false","true","true","false","true","true","false","false","true","true","false","true","false","true","false","false","true","true","true","false","true","true","false","false","false","false","true","false","true","false","false"
"false","true","true","false","false","false","true","false","true","true","true","false","false","true","true","false","true","true","false","true","false","true","false","true","true","false","false","true","false","true","true","false","false","false","true","true","false","true","false","false","true","false","false","false","true","false","false","true","true","false","true","false","true","true","true","false","false","false","true","true","true","true","false","true","false","true","true","true","true","false","false","false","false","false","true","true","true","false","true","true","false","true","true","true","false","false","false","false","false","false","false","false","false","true","false","true","true","false","false","true","false","true","true","true"
"true","false","false","false","false","true","true","true","false","false","true","false","true","true","true","false","false","true","true","true","false","true","true","false","true","false","false","false","true","true","true","true","false","false","true","true","true","true","false","false","true","false","true","false","false","true","true","false","false","false","false","false","false","true","false","true","false","true","false","false","true","true","true","false","false","false","true","true","false","false","true","true","true","true","false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","true","true","false","false","false","false"
"false","false","false","false","true","true","true","false","true","false","true","false","true","true","true","true","true","false","false","true","true","true","false","false","false","false","true","true","false","true","true","true","false","true","false","true","false","true","false","true","true","true","false","true","false","true","false","false","false","false","false","true","false","false","false","false","true","true","false","true","false","false","true","true","false","true","true","true","false","false","true","true","true","false","false","false","true","false","false","true","true","false","true","false","false","false","false","false","false","true","true","true","false","true","false","false","false","false","false","false","true","false","true","false"
"true","true","false","false","false","true","false","false","true","false","true","false","false","true","false","false","false","true","true","false","true","false","true","true","false","true","false","false","true","true","true","true","true","true","true","true","false","true","false","true","false","false","true","true","false","false","true","true","false","true","true","true","true","true","false","false","true","false","true","true","true","false","false","true","true","false","false","false","false","true","false","false","false","false","true","true","false","false","false","false","true","true","false","false","false","false","false","false","false","false","true","false","false","true","true","false","true","false","true","true","false","true","true","true"
"false","true","true","false","false","false","true","false","false","true","false","false","false","false","true","false","true","true","true","false","true","false","true","false","true","false","true","false","false","true","false","true","false","false","false","false","true","true","true","false","true","true","false","true","true","true","true","false","false","false","false","true","true","false","true","false","true","true","false","false","false","false","false","true","true","true","true","true","false","true","false","false","false","true","true","false","false","true","true","true","false","true","true","false","false","true","false","false","false","true","true","true","true","true","false","false","false","false","true","true","false","false","true","true"
"true","false","true","true","true","true","false","false","true","true","false","false","true","false","true","true","false","false","false","true","false","true","false","false","false","false","true","true","true","false","true","true","true","false","true","false","true","false","false","true","true","true","false","false","true","true","false","true","false","true","true","false","true","true","false","false","false","false","false","true","false","true","false","false","false","false","false","true","true","true","true","true","false","true","false","false","true","false","false","true","true","false","false","false","false","false","false","false","false","false","true","true","false","true","true","true","true","true","true","true","true","true","true","true"
"true","false","false","false","false","true","false","false","true","false","true","false","true","false","true","false","true","false","false","false","true","true","true","true","false","true","true","false","false","false","false","false","false","false","true","false","false","true","false","true","false","true","false","true","false","true","false","false","false","true","true","false","false","true","false","true","true","true","true","false","false","true","false","false","true","true","true","true","false","false","false","true","false","false","true","true","true","true","true","true","true","true","true","true","true","true","false","false","true","false","true","true","true","true","true","false","true","false","true","true","false","false","true","false"
"false","false","false","false","true","false","true","true","true","false","false","true","true","false","false","true","false","false","false","true","false","false","true","false","false","true","true","false","true","false","true","false","true","false","false","true","true","true","true","true","true","false","false","false","true","true","true","false","false","true","false","true","true","true","false","true","true","false","true","true","true","true","true","true","false","false","true","true","true","false","false","true","true","false","false","true","true","true","true","false","false","true","true","true","false","false","false","false","true","true","false","true","false","false","true","true","true","false","false","false","false","true","true","false"
"true","true","false","false","false","false","true","true","false","true","true","true","false","false","true","false","true","false","false","true","true","false","false","false","false","true","false","true","true","false","true","false","false","true","false","true","true","true","true","true","true","false","false","false","false","true","true","false","true","true","true","true","false","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","true","false","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","true","true","true","true","false","false","true","false","true","false","true","false","true","false","true","false","false","false","true"
"true","false","false","true","true","true","true","false","false","false","true","true","false","true","false","false","true","false","true","false","true","true","true","false","true","false","true","true","false","false","true","true","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","true","true","false","true","true","true","false","false","true","true","true","false","true","false","false","true","false","false","true","true","false","false","true","false","false","true","false","false","true","true","false","false","false","false","true","false","true","false","false","true","false","true","true","false","true","false","false","false","false","true","true","false","true","false","false","false","false"
"true","true","false","false","true","true","false","false","true","false","false","true","false","false","true","true","false","false","false","false","true","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","false","true","true","true","true","true","false","false","false","true","true","true","false","true","false","false","true","false","true","true","true","false","true","true","false","false","false","true","true","false","false","false","true","false","true","false","false","false","true","false","false","false","true","false","false","true","true","true","true","true","true","true","false","false","true","true","false","false","false","false","true","false","false","true","true","false","false"
"true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true"
"false","true","false","false","false","true","false","false","true","true","false","false","false","false","true","true","false","true","true","true","false","false","true","false","true","false","true","true","true","true","true","true","false","true","false","false","true","true","true","false","false","true","false","false","false","false","true","false","true","false","true","true","false","true","false","true","true","true","false","true","false","false","true","false","true","false","true","false","true","true","false","true","false","false","true","false","true","false","false","true","true","true","true","true","true","false","false","true","false","false","false","false","false","false","false","true","true","true","false","false","true","true","false","false"
"false","true","false","false","true","false","false","true","false","false","true","true","true","true","false","true","false","false","true","false","false","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","false","true","true","true","false","false","false","false","true","true","true","false","false","true","true","false","false","true","false","false","true","false","true","true","true","false","false","false","false","true","true","false","false","true","true","true","true","true","false","false","false","true","true","true","true","false","true","true","true","false","true","false","true","false","false","false","false","false","false","true","true","false","true","false","true","false","true","false"
"true","false","true","false","false","true","true","true","false","false","true","true","true","false","false","false","true","true","false","true","true","false","true","false","true","true","true","false","false","false","true","true","false","true","true","true","false","true","true","false","false","false","false","true","false","false","false","true","false","true","false","false","true","false","false","true","false","false","false","true","false","true","true","false","true","true","false","false","true","false","false","false","true","true","true","false","true","true","false","true","false","true","true","true","false","true","true","false","false","false","true","false","true","true","false","true","false","true","true","true","true","true","false","false"
"false","false","false","false","false","true","true","false","true","true","true","false","true","false","true","true","false","false","true","true","true","true","true","false","false","false","false","true","true","true","false","false","true","true","false","false","false","false","true","false","false","true","false","true","false","false","false","false","true","true","false","true","true","true","true","false","false","true","false","true","true","true","false","true","false","false","true","false","true","false","true","false","false","false","false","true","true","false","true","true","false","true","false","true","false","true","false","false","true","true","false","false","true","true","false","true","false","true","false","false","false","true","false","false"
"true","true","true","false","true","true","false","false","false","true","true","true","false","false","false","false","false","false","false","false","false","false","true","true","true","true","false","false","false","false","false","false","true","true","false","false","false","true","false","true","true","true","false","false","false","true","true","false","true","false","true","true","false","false","true","true","false","true","true","true","false","false","true","true","true","true","false","false","true","false","true","true","false","true","false","true","true","false","false","false","false","false","false","true","false","true","false","false","true","true","false","true","true","false","true","false","true","true","false","true","true","false","true","true"
"true","false","true","false","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","false","false","false","true","false","false","true","false","true","true","true","true","true","false","false","false","true","true","false","false","true","false","true","false","false","true","false","true","false","false","true","false","false","true","true","true","true","false","false","true","false","false","true","false","true","true","true","true","false","true","false","true","true","true","false","true","true","true","true","false","true","true","false","false","false","true","true","true","false","false","true","true","true","false","false","true","false","false","true","true","true","false","true","false","false"
"false","false","true","true","false","true","false","true","true","false","true","true","true","true","false","false","true","true","true","true","true","false","true","true","false","false","true","true","true","true","true","true","true","false","true","false","true","false","false","false","false","true","true","true","false","true","true","false","true","false","false","false","false","true","false","false","false","true","false","false","false","true","true","true","false","true","true","false","true","true","false","false","false","false","false","false","false","false","false","true","false","true","false","false","true","true","false","false","true","false","false","true","false","false","true","false","true","true","false","true","false","true","true","false"
"true","false","false","false","false","true","false","true","false","true","true","true","true","false","false","false","true","false","true","true","true","false","false","false","false","false","true","false","true","true","true","true","false","false","false","true","false","true","true","false","true","false","false","true","true","false","true","true","false","true","false","false","true","true","true","false","false","false","false","false","false","false","false","false","true","false","true","true","false","false","true","false","false","true","false","false","true","false","false","true","false","true","true","true","true","false","true","false","true","true","false","false","true","false","false","true","true","false","true","true","true","false","true","false"
"false","false","true","true","false","false","false","false","false","false","true","true","true","true","false","false","false","true","true","true","false","false","false","false","true","false","true","false","true","false","false","true","true","true","false","false","true","true","true","true","true","false","false","true","false","true","false","true","true","false","false","true","true","true","false","true","false","true","true","true","false","false","false","true","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","true","true","false","true","true","false","false","true","true","false","true","true","false","false","false","false","false","true","false","false","true"
"true","false","false","true","true","false","true","true","true","false","false","true","false","true","false","true","false","false","true","false","false","true","false","false","false","false","false","true","false","true","true","false","false","false","false","false","false","false","true","true","false","true","true","false","true","true","false","true","true","true","true","false","false","false","false","false","false","true","false","false","true","false","true","false","true","false","false","false","true","false","true","true","true","true","true","false","false","false","true","false","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","false","true","false","false","false","true","true","false","true"
"true","true","true","true","true","false","true","true","true","true","false","false","true","false","false","true","false","true","false","false","false","true","true","true","false","false","true","false","true","false","true","true","false","false","true","false","false","true","true","false","true","true","true","false","false","true","true","true","false","true","false","false","true","false","false","false","true","true","true","true","true","false","false","true","true","true","true","false","true","true","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","true","false","false","false","true","false","true","false","false","true","false","false","true","false","true","true","false","true","true"
"true","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","true","true","false","true","true","false","true","true","true","false","false","false","false","false","true","true","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false","false","false","false","true","true","true","true","true","true","false","false","false","true","true","false","true","true","true","false","false","true","true","false","true","true","false","false","false","true","true","true","false","false","true","false","true","false","false","true","false","true","true","false","false","false","true","false","false","false","true","true","true","true","true","true","false","false"
"true","false","true","true","false","false","true","false","false","false","true","true","false","true","true","false","false","true","false","false","true","true","true","true","true","true","true","false","false","true","false","true","true","false","false","false","false","false","true","false","true","true","false","true","true","false","false","false","true","false","false","false","false","false","true","true","true","true","false","true","true","false","false","true","true","false","false","true","false","false","false","false","false","false","false","true","true","true","false","false","true","true","false","true","true","true","false","false","false","true","false","false","false","true","false","false","false","false","false","false","false","false","true","true"
"true","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","true","false","true","true","true","true","true","false","false","true","false","false","true","true","true","false","false","false","false","true","true","false","true","false","false","false","false","true","true","true","false","false","false","true","true","true","false","false","true","true","true","false","false","false","false","false","false","true","true","false","false","true","true","false","true","true","true","true","false","false","true","false","false","true","true","false","true","false","false","false","false","true","false","true","true","true","true","false","false","false","true","true","false","false","false","false","false","false"
"false","true","false","false","true","false","true","true","false","false","false","false","false","false","false","false","true","true","false","true","true","true","true","false","false","false","false","true","true","true","false","true","true","false","false","false","true","true","true","true","false","false","false","true","true","false","false","true","false","false","true","true","true","false","false","true","true","false","true","false","true","true","true","false","false","false","false","false","false","true","false","false","false","true","false","true","true","true","true","true","false","false","true","false","true","true","true","true","true","true","true","true","false","true","false","false","false","true","false","false","true","false","true","true"
"false","true","true","true","true","true","false","false","true","false","true","true","true","false","false","false","false","true","true","true","true","true","true","true","false","false","false","true","false","false","false","true","false","false","false","false","true","true","true","true","true","false","true","false","false","false","false","false","false","true","false","true","false","false","true","false","false","true","false","true","true","true","false","true","true","true","true","true","true","true","false","true","false","false","true","true","false","false","true","false","false","false","false","false","true","true","true","false","false","true","true","false","false","true","true","true","true","false","true","false","false","true","false","false"
"true","false","true","false","false","true","false","true","true","true","false","true","true","true","true","true","true","false","true","false","false","true","true","false","true","true","true","false","true","false","false","true","false","false","false","true","true","false","false","true","true","false","true","true","false","true","false","false","true","true","false","false","false","true","false","false","true","false","true","true","true","true","true","false","false","false","true","false","true","true","true","false","false","false","true","true","false","true","true","true","false","false","false","true","false","false","true","false","false","true","false","true","true","true","false","false","false","false","false","false","true","false","false","true"
"false","false","true","true","false","false","true","true","true","true","false","true","true","true","false","true","true","false","false","true","true","true","false","false","true","false","true","false","false","true","true","false","false","false","false","true","true","false","false","true","true","false","true","true","false","false","false","false","true","false","false","true","false","true","false","false","true","true","false","true","false","true","true","false","false","true","false","false","true","false","false","false","false","true","true","true","true","true","true","true","true","false","true","false","true","true","true","false","true","true","false","false","false","false","true","false","true","false","true","true","false","false","true","true"
"false","false","false","false","false","true","true","false","false","true","true","true","true","true","true","true","true","false","true","true","false","true","true","false","true","true","true","false","true","true","false","true","true","true","true","true","true","false","true","false","false","true","false","false","false","false","false","false","false","false","true","true","true","false","false","true","false","true","false","false","true","false","true","true","true","false","false","false","true","false","false","false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false","true","true","true","true","true","true","true","false","true","true","false","true","true","true","true","true","false"
"false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","true","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","false","true","false","false","true","false","true","true","true","false","true","true","true","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","true","true","true","true","false","false","false","true","true","false","false","true","false","false","true","false","false","true","false","false","true","true","true","true","false","true","false","false"
"true","true","false","true","false","false","true","false","false","false","false","true","true","false","false","true","true","true","true","false","true","true","false","false","false","true","true","true","true","true","false","true","true","true","true","false","false","true","false","false","true","false","true","false","false","false","false","false","false","false","true","true","true","true","true","false","false","false","false","true","false","true","true","false","false","false","false","true","true","true","false","true","true","false","true","true","false","true","true","false","true","false","true","false","false","false","true","true","true","true","true","false","true","true","false","true","false","true","false","true","false","false","true","true"
"true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true"
"true","false","false","false","true","false","true","true","false","true","false","true","true","false","true","true","false","true","false","false","false","true","true","false","true","false","true","false","false","false","false","false","true","true","false","true","true","false","false","true","false","true","true","true","true","false","true","false","true","false","false","true","false","false","false","false","false","false","false","false","true","true","false","false","true","true","true","true","false","true","false","true","false","true","true","true","false","true","false","false","true","false","true","true","false","false","true","false","false","false","true","false","false","true","true","false","true","true","true","true","false","false","false","false"
"true","false","true","true","false","false","true","true","false","false","false","true","true","true","false","false","false","true","false","false","true","false","true","true","false","true","false","false","false","true","true","false","true","false","false","false","true","true","true","false","true","true","false","true","true","false","false","false","true","true","true","false","false","false","true","true","true","true","false","true","true","false","true","false","false","true","true","true","false","true","false","false","false","true","true","true","false","false","false","true","true","false","true","true","false","true","false","true","true","true","true","true","true","false","true","true","false","true","false","false","true","true","false","true"
"false","true","false","true","false","true","true","false","true","false","true","true","false","true","true","true","true","true","true","true","true","true","false","true","true","false","true","false","false","false","false","false","true","false","false","false","true","true","true","true","false","false","false","true","false","false","true","false","true","false","false","true","true","false","true","false","false","true","true","false","true","true","false","true","true","false","false","false","false","true","false","true","true","true","false","true","false","false","false","false","false","true","true","false","true","true","true","true","true","true","true","false","false","true","true","false","false","false","false","false","true","true","true","false"
"true","true","false","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false"
"false","false","true","true","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","true","true","true","false","false","false","false","false","true","false","true","false","false","false","true","true","false","true","false","true","false","true","false","true","false","false","true","false","true","true","false","false","true","true","true","false","false","false","false","true","true","false","true","true","false","false","false","true","true","true","false","true","true","true","false","false","false","false","true","false","false","false","false","true","true","true","true","false","false","false","true","true","false","true","false","false","true","true","true","false","true","false","true","true"
"false","true","false","false","false","false","true","false","true","true","false","false","true","false","false","false","false","false","true","false","true","true","false","false","true","true","true","true","true","false","true","false","true","false","false","true","false","true","false","false","false","false","true","true","false","true","true","true","false","true","true","true","false","false","true","false","false","false","false","false","false","true","false","true","false","true","true","false","false","true","true","false","true","true","true","true","true","false","true","true","true","true","true","true","true","true","true","true","false","true","false","true","true","false","true","true","true","true","true","false","true","false","true","true"
"false","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","false","false","false","false","false","false","true","true","false","true","false","true","false","true","true","true","false","true","true","true","true","true","false","false","true","true","true","true","true","false","false","true","true","true","true","false","true","false","true","true","true","true","false","true","true","false","false","false","false","false","false","true","false","true","true","false","false","true","true","false","false","false","false","false","false","true","true","true","false","true","true","true","true","true","true","false","false","false","true","false","true","true","false","false","true","false"
"false","false","true","true","false","false","false","true","true","false","true","false","false","true","false","false","false","false","false","true","true","true","true","false","false","false","false","false","false","true","true","false","false","true","false","true","true","true","false","false","true","false","true","false","true","true","true","false","true","true","true","false","true","true","true","false","true","true","false","true","false","true","false","false","true","false","true","false","true","true","false","false","true","false","false","false","true","false","true","false","true","false","true","true","false","true","true","false","false","false","false","false","true","true","false","false","false","true","true","true","false","true","false","true"
"true","true","true","false","true","true","false","false","false","false","false","true","false","true","true","true","true","true","true","false","true","true","true","true","true","false","false","true","false","false","false","true","false","true","true","true","false","false","true","false","false","false","false","false","false","true","true","false","true","true","false","true","true","true","true","false","true","true","true","false","false","false","true","false","false","false","true","false","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","true","true","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","true","false","true"
"false","true","true","false","true","false","false","false","false","false","true","false","true","true","false","true","true","true","false","false","true","false","false","false","false","false","true","true","true","true","true","false","false","false","true","true","false","true","true","true","true","true","true","true","true","true","true","true","true","false","true","true","false","true","true","false","false","true","true","true","true","true","true","false","true","false","false","true","false","false","false","false","false","true","false","false","true","true","false","false","true","true","false","false","false","false","false","true","false","false","true","false","false","true","true","false","false","true","true","false","true","true","false","true"
"true","false","false","true","true","true","false","false","false","false","true","false","true","true","false","true","false","false","true","true","false","true","false","true","true","true","true","true","true","false","false","true","false","false","true","false","false","true","true","true","false","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","true","false","false","false","false","true","false","false","true","true","true","false","true","true","true","false","false","false","false","false","true","true","true","false","false","false","true","true","false","true","true","true","false","false","true","true","false","false","true","true","true","false","true","true","true","false","false","true"
"true","false","true","false","false","true","false","true","false","true","false","true","false","false","false","false","false","true","false","false","false","false","true","true","true","false","false","true","true","false","true","true","false","true","true","false","true","false","false","false","true","true","true","false","true","false","true","true","false","true","true","true","false","true","true","false","false","false","true","true","false","true","false","false","true","false","true","true","false","false","true","false","false","true","false","true","true","true","true","true","true","false","true","false","true","true","true","false","true","false","false","false","false","true","false","true","false","false","false","false","true","false","false","false"
"false","false","false","true","false","true","false","false","true","false","false","true","true","true","false","true","false","true","false","false","true","false","true","true","true","false","true","true","true","true","true","false","false","false","false","true","false","false","true","false","false","false","true","false","true","false","false","true","true","false","true","false","true","true","false","false","true","false","false","true","false","false","false","false","true","true","false","true","false","false","true","true","true","false","false","true","false","true","true","false","false","false","false","true","false","false","false","true","true","true","false","true","true","true","true","true","false","true","true","false","false","true","true","false"
